#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   0     105.430295940345                 2.07                    0                    0                  270
                 252     7.65540408970858                 3.49                    0                   -0                  270
                82.6     1.00159654376574                 6.68                    0                   -0                  270
    359.822043895397      6.0071632662513                 5.71                    0   -0.178275204208443                  270
  0.0779561046031176      6.0071632662513                 5.71                    0                   -0                  270
   0.675546117688668      6.0071632662513                 2.19                0.012                   -0                  270
    165.633687884562     9.42014947032174                 2.19                0.012     4.00443880649619                  270
    20.6907659977495     9.42014947032174                 2.19                0.012                   -0                  270
                47.9     1.00042499399521                 3.86                    0                   -0                  270
                   0                    0                    0                    0                    0                  270
